coreID,depth,Site,length,location,drying,rep,DOC_ID,saturation
S63,5cm-end,SR,150d,up,CW,r2,DOC-115,saturated
S80,5cm-end,SR,150d,up,FAD,r2,DOC-116,saturated
S86,5cm-end,SR,150d,up,FAD,r1,DOC-117,saturated
S3,5cm-end,SR,30d,low,CW,r4,DOC-118,saturated
S9,5cm-end,SR,30d,low,CW,r2,DOC-119,saturated
S20,5cm-end,SR,30d,low,CW,r3,DOC-120,saturated
S27,5cm-end,SR,30d,low,FAD,r3,DOC-121,saturated
S16,5cm-end,SR,30d,low,FAD,r2,DOC-122,saturated
S39,5cm-end,SR,30d,low,FAD,r4,DOC-123,saturated
S83,5cm-end,SR,30d,up,CW,r1,DOC-124,saturated
S54,5cm-end,SR,30d,up,CW,r4,DOC-125,saturated
S66,5cm-end,SR,30d,up,CW,r3,DOC-126,saturated
S57,5cm-end,SR,30d,up,FAD,r4,DOC-127,saturated
S76,5cm-end,SR,30d,up,FAD,r2,DOC-128,saturated
S15,5cm-end,SR,90d,low,CW,r2,DOC-129,saturated
S11,5cm-end,SR,90d,low,CW,r1,DOC-130,saturated
S25,5cm-end,SR,90d,low,CW,r4,DOC-131,saturated
S1,5cm-end,SR,90d,low,FAD,r1,DOC-132,saturated
S18,5cm-end,SR,90d,low,FAD,r3,DOC-133,saturated
S37,5cm-end,SR,90d,low,FAD,r4,DOC-134,saturated
S53,5cm-end,SR,90d,up,CW,r4,DOC-135,saturated
S87,5cm-end,SR,90d,up,CW,r1,DOC-136,saturated
S65,5cm-end,SR,90d,up,CW,r3,DOC-137,saturated
S52,5cm-end,SR,90d,up,FAD,r3,DOC-138,saturated
S72,5cm-end,SR,90d,up,FAD,r4,DOC-139,saturated
S78,5cm-end,SR,90d,up,FAD,r1,DOC-140,saturated
C78,0-5cm,CPCRW,90d,,CW,r1,DOC-141,instant chemistry
C76,0-5cm,CPCRW,90d,,CW,r2,DOC-142,instant chemistry
C84,0-5cm,CPCRW,90d,,CW,r3,DOC-143,instant chemistry
C70,0-5cm,CPCRW,90d,,FAD,r1,DOC-144,instant chemistry
C80,0-5cm,CPCRW,90d,,FAD,r2,DOC-145,instant chemistry
C83,0-5cm,CPCRW,90d,,FAD,r3,DOC-146,instant chemistry
C78,5cm-end,CPCRW,90d,,CW,r1,DOC-147,instant chemistry
C76,5cm-end,CPCRW,90d,,CW,r2,DOC-148,instant chemistry
C84,5cm-end,CPCRW,90d,,CW,r3,DOC-149,instant chemistry
C70,5cm-end,CPCRW,90d,,FAD,r1,DOC-150,instant chemistry
C80,5cm-end,CPCRW,90d,,FAD,r2,DOC-151,instant chemistry
C83,5cm-end,CPCRW,90d,,FAD,r3,DOC-152,instant chemistry
S91,0-5cm,SR,30d,,CW,r1,DOC-153,instant chemistry
S24,0-5cm,SR,30d,,CW,r2,DOC-154,instant chemistry
S81,0-5cm,SR,30d,,CW,r3,DOC-155,instant chemistry
S45,0-5cm,SR,30d,,FAD,r1,DOC-156,instant chemistry
S43,0-5cm,SR,30d,,FAD,r2,DOC-157,instant chemistry
S79,0-5cm,SR,30d,,FAD,r3,DOC-158,instant chemistry
S95,0-5cm,SR,90d,,CW,r1,DOC-159,instant chemistry
S84,0-5cm,SR,90d,,CW,r2,DOC-160,instant chemistry
S32,0-5cm,SR,90d,,CW,r3,DOC-161,instant chemistry
S21,0-5cm,SR,90d,,FAD,r1,DOC-162,instant chemistry
S47,0-5cm,SR,90d,,FAD,r2,DOC-163,instant chemistry
S89,0-5cm,SR,90d,,FAD,r3,DOC-164,instant chemistry
S91,5cm-end,SR,30d,,CW,r1,DOC-165,instant chemistry
S24,5cm-end,SR,30d,,CW,r2,DOC-166,instant chemistry
S81,5cm-end,SR,30d,,CW,r3,DOC-167,instant chemistry
S45,5cm-end,SR,30d,,FAD,r1,DOC-168,instant chemistry
S43,5cm-end,SR,30d,,FAD,r2,DOC-169,instant chemistry
S79,5cm-end,SR,30d,,FAD,r3,DOC-170,instant chemistry
S95,5cm-end,SR,90d,,CW,r1,DOC-171,instant chemistry
S84,5cm-end,SR,90d,,CW,r2,DOC-172,instant chemistry
S32,5cm-end,SR,90d,,CW,r3,DOC-173,instant chemistry
S21,5cm-end,SR,90d,,FAD,r1,DOC-174,instant chemistry
S47,5cm-end,SR,90d,,FAD,r2,DOC-175,instant chemistry
S89,5cm-end,SR,90d,,FAD,r3,DOC-176,instant chemistry
C67,0-5cm,CPCRW,timezero,,,,DOC-177,timezero
C73,0-5cm,CPCRW,timezero,,,,DOC-178,timezero
C81,0-5cm,CPCRW,timezero,,,,DOC-179,timezero
C29,0-5cm,CPCRW,timezero,,,,DOC-180,timezero
C67,5cm-end,CPCRW,timezero,,,,DOC-181,timezero
C73,5cm-end,CPCRW,timezero,,,,DOC-182,timezero
C81,5cm-end,CPCRW,timezero,,,,DOC-183,timezero
C29,5cm-end,CPCRW,timezero,,,,DOC-184,timezero
S58,0-5cm,SR,timezero,,,,DOC-185,timezero
S25,0-5cm,SR,timezero,,,,DOC-186,timezero
S92,0-5cm,SR,timezero,,,,DOC-187,timezero
S58,5cm-end,SR,timezero,,,,DOC-188,timezero
S25,5cm-end,SR,timezero,,,,DOC-189,timezero
S92,5cm-end,SR,timezero,,,,DOC-190,timezero
